          30
           0           1
           2           3
           4           5
           6           7
           8           9
          10          11
          12          13
          14          15
           1           0
           3           2
           5           4
           7           6
           9           8
          11          10
          13          12
          15          14
           0           2
           1           3
           4           6
           5           7
           8          10
           9          11
          12          14
          13          15
           2           0
           3           1
           6           4
           7           5
          10           8
          11           9
          14          12
          15          13
           0           3
           1           2
           4           7
           5           6
           8          11
           9          10
          12          15
          13          14
           3           0
           2           1
           7           4
           6           5
          11           8
          10           9
          15          12
          14          13
           0           4
           1           5
           2           6
           3           7
           8          12
           9          13
          10          14
          11          15
           4           0
           5           1
           6           2
           7           3
          12           8
          13           9
          14          10
          15          11
           0           5
           1           4
           2           7
           3           6
           8          13
           9          12
          10          15
          11          14
           5           0
           4           1
           7           2
           6           3
          13           8
          12           9
          15          10
          14          11
           0           6
           1           7
           2           4
           3           5
           8          14
           9          15
          10          12
          11          13
           6           0
           7           1
           4           2
           5           3
          14           8
          15           9
          12          10
          13          11
           0           7
           1           6
           2           5
           3           4
           8          15
           9          14
          10          13
          11          12
           7           0
           6           1
           5           2
           4           3
          15           8
          14           9
          13          10
          12          11
           0           8
           1           9
           2          10
           3          11
           4          12
           5          13
           6          14
           7          15
           8           0
           9           1
          10           2
          11           3
          12           4
          13           5
          14           6
          15           7
           0           9
           1           8
           2          11
           3          10
           4          13
           5          12
           6          15
           7          14
           9           0
           8           1
          11           2
          10           3
          13           4
          12           5
          15           6
          14           7
           0          10
           1          11
           2           8
           3           9
           4          14
           5          15
           6          12
           7          13
          10           0
          11           1
           8           2
           9           3
          14           4
          15           5
          12           6
          13           7
           0          11
           1          10
           2           9
           3           8
           4          15
           5          14
           6          13
           7          12
          11           0
          10           1
           9           2
           8           3
          15           4
          14           5
          13           6
          12           7
           0          12
           1          13
           2          14
           3          15
           4           8
           5           9
           6          10
           7          11
          12           0
          13           1
          14           2
          15           3
           8           4
           9           5
          10           6
          11           7
           0          13
           1          12
           2          15
           3          14
           4           9
           5           8
           6          11
           7          10
          13           0
          12           1
          15           2
          14           3
           9           4
           8           5
          11           6
          10           7
           0          14
           1          15
           2          12
           3          13
           4          10
           5          11
           6           8
           7           9
          14           0
          15           1
          12           2
          13           3
          10           4
          11           5
           8           6
           9           7
           0          15
           1          14
           2          13
           3          12
           4          11
           5          10
           6           9
           7           8
          15           0
          14           1
          13           2
          12           3
          11           4
          10           5
           9           6
           8           7
